FOOD COMMODITY TYPOLOGY,FOOD COMMODITY sub-TYPOLOGY,FOOD COMMODITY ITEM,mean
BEER*,-,BEER*,166
BISCUITS,-,CHOCOLATE OR CREAM FILLED COOKIES**,2895
BISCUITS,-,SIMPLE COOKIES**,1684
BREAD,-,BREAD,1003
BREAD,-,BREAD MULTICEREAL**,771
BREAD,-,BREAD PLAIN**,995
BREAD,-,BREAD WHOLE**,851
BREAKFAST CEREALS,-,BARLEY FLAKES,1977
BREAKFAST CEREALS,-,OAT FLAKES,2416
COCOA DERIVATES,-,CHOCOLATE,17196
COCOA DERIVATES,-,COCOA BUTTER,33938
COCOA DERIVATES,-,COCOA PASTE,24238
COCOA DERIVATES,-,COCOA POWDER,15618
COFFEE GROUND & PARCHMENT* (coffee roasted),-,COFFEE ROASTED,19956
COFFEE LIQUID,-,COFFEE SOLUBLE,640
COFFEE LIQUID,-,COFFEE STANDARD,1120
COFFEE LIQUID,-,COFFEE STRONG,1600
COFFEE LIQUID,-,COFFEE WEAK,800
CRACKERS,-,FLAVORED CRACKERS**,1429
CRACKERS,-,PLAIN CRACKERS**,1488
CRACKERS,-,WHOLEGRAIN CRACKERS**,833
CRISPBREAD**,-,CRISPBREAD**,1458
DRESSING,-,KETCHUP,534
DRESSING,-,SOY PASTE,572
DRESSING,-,SOY SAUCE,613
EGG PASTA*,-,EGG PASTA*,4637
GRAIN FLOUR,-,MAIZE FLOUR & MEAL,1167
GRAIN FLOUR,-,OAT MEAL,2536
GRAIN FLOUR,-,RICE FLOUR & MEAL,2429
GRAIN FLOUR,-,RYE FLOUR,1930
GRAIN FLOUR,-,WHEAT FLOUR,1849
JUICE,-,APPLE JUICE,1141
JUICE,-,GRAPEFRUIT JUICE,675
JUICE,-,ORANGE JUICE,1019
JUICE,-,PINEAPPLE JUICE,1273
JUICE,-,TOMATO JUICE,267
JUICE CONCENTRATED* (tomato),-,TOMATO JUICE CONCENTRATED*,1069
LEGUME FLOUR,-,SOYBEAN FLOUR,2523
MARGARINE*,-,MARGARINE*,1324
OIL,-,COCONUT OIL,4490
OIL,-,LINSEED OIL,9415
OIL,-,MAIZE OIL,2575
OIL,-,OLIVE OIL,14416
OIL,-,OLIVE OIL REFINED,14726
OIL,-,PALM OIL,4971
OIL,-,PEANUT OIL,7529
OIL,-,RAPESEED OIL,4301
OIL,-,SESAM OIL,21793
OIL,-,SOYBEAN OIL,4190
OIL,-,SUNFLOWER OIL,6792
PASTA*,-,PASTA*,1651
PESTO,-,PESTO,2099
PESTO,-,PESTO WITHOUT GARLIC,2249
"PROCESSED GRAINS (grouts, malt)",-,MAIZE GROATS,1081
"PROCESSED GRAINS (grouts, malt)",-,"MAIZE HULLED, PEARLED, SLICED OR KIBBLED",1314
"PROCESSED GRAINS (grouts, malt)",-,MALT,1950
"PROCESSED GRAINS (grouts, malt)",-,"MALT, ROASTED",2437
"PROCESSED GRAINS (grouts, malt)",-,OAT GROATS,2536
"PROCESSED GRAINS (grouts, malt)",-,RICE GROATS,2230
"PROCESSED GRAINS (grouts, malt)",-,WHEAT GLUTEN,4189
"PROCESSED GRAINS (grouts, malt)",-,WHEAT PELLETS,2036
STARCH,-,MAIZE STARCH,1671
STARCH,-,MANIOC (CASSAVA) STARCH,2254
STARCH,-,POTATO STARCH,1512
STARCH,-,WHEAT STARCH,1436
STARCHY ROOT FLOUR,-,CASSAVA FLOUR,1878
STARCHY ROOT FLOUR,-,POTATO FLOUR & MEAL,1436
STARCHY TUBER,-,DRIED CASSAVA,1610
STARCHY TUBER,-,POTATO FLAKES,1044
STARCHY TUBER,-,TAPIOCA OF CASSAVA,2818
STARCHY TUBER,-,TAPIOCA OF POTATOES,1436
SUGAR,-,BEET SUGAR,871
SUGAR,-,CANE MOLASSE,527
SUGAR,-,CANE SUGAR,1358
SUGAR,-,FRUCTOSE,1782
SWEETS,-,CAKES AND CROISSANT**,1856
SWEETS,-,COCOA CAKES AND CROISSANT**,3698
"TOMATO PUREE,PEELED, CHOPPED",-,TOMATO PASTE,855
"TOMATO PUREE,PEELED, CHOPPED",-,TOMATO PEELED,267
"TOMATO PUREE,PEELED, CHOPPED",-,TOMATO PUREE,713
TOMATO SAUCE,-,TOMATO & BASIL,148
TOMATO SAUCE,-,TOMATO ARRABBIATA,155
VEGETABLES CANNED* (corn),-,CORN CANNED*,807
VEGETABLES FROZEN,-,BEANS (F),801
VEGETABLES FROZEN,-,MIXED VEGETABLES (F),339
VEGETABLES FROZEN,-,PEAS (F),850
VEGETABLES FROZEN,-,POTATOES (F),575
VEGETABLES FROZEN,-,SPINACH (F),834
VEGETABLES FROZEN,-,SWEET CORN (F),700
VEGETAL MILK* (soy milk),-,SOY MILK*,2030
VEGETAL PROTEINS,-,QUORNE,2000
VEGETAL PROTEINS,-,SOY BURGER,1053
VEGETAL PROTEINS,-,TOFU,1725
WINE*,-,WINE*,601
YEAST COMPRESSED*,-,YEAST COMPRESSED*,51
BEEF BONE FREE MEAT*,,BEEF BONE FREE MEAT*,16252
BEEF CURED MEAT,,BEEF CURED MEAT,23799
BEEF MEAT WITH BONE,,BEEF MEAT WITH BONE,10943
BUTTER*,-,BUTTER*,5544
CHEESE,-,CHEESE,5051
CHEESE,-,CHEESE BLUE-VEINED,5060
CHEESE,-,CHEESE GRATED,5060
CHEESE,-,CREAM,3998
CHEESE,-,GRAN MORAVIA,2067
CHEESE,-,HARD AND SEMI-HARD CHEESE,12139
CHEESE,-,MASCARPONE,6100
CHEESE,-,MOZZARELLA,9672
CHEESE,-,PARMIGIANO REGGIANO,10200
CHEESE,-,RICOTTA,2590
CHEESE,-,STRACCHINO,5600
EDIBLE INSECTS* (mealworms),-,MEALWORMS*,4341
EGGS & DERIVATES,-,EGG YOLKS,3270
EGGS & DERIVATES,-,EGGS,3361
EGGS & DERIVATES,-,EGGS SHELLED,3632
EQUINE MEAT,-,ASS MEAT,50524
EQUINE MEAT,-,HINNY MEAT,50524
EQUINE MEAT,-,HORSE MEAT,50524
EQUINE MEAT,-,MULE MEAT,50524
GOAT BONE FREE MEAT*,-,GOAT BONE FREE MEAT*,5225
LAMB BONE FREE MEAT*,-,LAMB BONE FREE MEAT*,10412
LAMB MEAT WITH BONE*,-,LAMB MEAT WITH BONE*,5235
MILK,-,BUTTERED MILK,1599
MILK,-,COW MILK,1237
MILK,-,KEPHIR,1599
MILK,-,MILK ACID,1599
MILK,-,MILK CREAMY,1898
MILK POWDER,-,MILK POWDER,4738
"OFFAL, FAT, LIVER",-,ASS OFFAL,3152
"OFFAL, FAT, LIVER",-,BEEF LIVER,7746
"OFFAL, FAT, LIVER",-,BEEF OFFAL,11155
"OFFAL, FAT, LIVER",-,GOAT OFFAL,3152
"OFFAL, FAT, LIVER",-,HINNY OFFAL,3152
"OFFAL, FAT, LIVER",-,HORSE OFFAL,3152
"OFFAL, FAT, LIVER",-,MULE OFFAL,3152
"OFFAL, FAT, LIVER",-,PORK FAT,4323
"OFFAL, FAT, LIVER",-,PORK LIVER,684
"OFFAL, FAT, LIVER",-,PORK OFFAL,1254
"OFFAL, FAT, LIVER",-,POULTRY FAT,4323
"OFFAL, FAT, LIVER",-,SHEEP OFFAL,3152
PORK BONE FREE MEAT*,-,PORK BONE FREE MEAT*,6820
PORK CURED MEAT,-,BACON,6116
PORK CURED MEAT,-,CURED HAM BONE FREE,9850
PORK CURED MEAT,-,CURED HAM WITH BONE,5798
PORK CURED MEAT,-,CURED PORK BONE FREE,6238
PORK CURED MEAT,-,CURED SHOULDERS WITH BONE,5798
PORK CURED MEAT,-,SAUSAGES,15600
PORK MEAT WITH BONE,-,FRESH HAM WITH BONE,5677
PORK MEAT WITH BONE,-,FRESH SHOULDERS WITH BONE,5677
PORK MEAT WITH BONE,-,PORK CUTS WITH BONE,5798
PORK MEAT WITH BONE,-,PORK MEAT WITH BONE,4361
POULTRY BONE FREE MEAT,-,CHICKEN BONE FREE MEAT,4888
POULTRY BONE FREE MEAT,-,DUCK BONE FREE MEAT,4325
POULTRY BONE FREE MEAT,-,GOOSE BONE FREE MEAT,4325
POULTRY BONE FREE MEAT,-,GUINEA BONE FREE MEAT,4325
POULTRY BONE FREE MEAT,-,TURKEY BONE FREE MEAT,4325
POULTRY MEAT WITH BONE* (chicken),-,CHICKEN MEAT WITH BONE*,3330
SHEEP BONE FREE MEAT*,-,SHEEP BONE FREE MEAT*,9256
SHEEP MEAT WITH BONE,-,SHEEP CARCASSE WITH BONE,8310
SHEEP MEAT WITH BONE,-,SHEEP CUTS WITH BONE,8320
YOGURT,-,YOGURT FLAVORED,1659
YOGURT,-,YOGURT WHITE,1605
YOGURT,-,YOGURT WHITE LACTOSE FREE,1073
COFFEE (GREEN),-,COFFEE BEAN,19928
COFFEE (GREEN),-,COFFEE GREEN,15897
DRIED FRUIT,-,APPLES,6847
DRIED FRUIT,-,COCONUTS,2093
DRIED FRUIT,-,DATES,2902
DRIED FRUIT,-,RAISINS,2433
FRUIT,CITRUS FRUIT,CITRUS,543
FRUIT,CITRUS FRUIT,CLEMENTINE,748
FRUIT,CITRUS FRUIT,LEMON,642
FRUIT,CITRUS FRUIT,LIME,642
FRUIT,CITRUS FRUIT,MANDARIN,748
FRUIT,CITRUS FRUIT,ORANGE,654
FRUIT,CITRUS FRUIT,TANGERIN,748
FRUIT,"FRUIT (excluded citrus, wild berries and olives)",APPLE,680
FRUIT,"FRUIT (excluded citrus, wild berries and olives)",APRICOT,1287
FRUIT,"FRUIT (excluded citrus, wild berries and olives)",AVOCADO,1901
FRUIT,"FRUIT (excluded citrus, wild berries and olives)",BANANA,469
FRUIT,"FRUIT (excluded citrus, wild berries and olives)",CAHSEW APPLE,3793
FRUIT,"FRUIT (excluded citrus, wild berries and olives)",CHERRY SOUR,1411
FRUIT,"FRUIT (excluded citrus, wild berries and olives)",CHERRY SWEET,1604
FRUIT,"FRUIT (excluded citrus, wild berries and olives)",COCONUT,1972
FRUIT,"FRUIT (excluded citrus, wild berries and olives)",FIG,3350
FRUIT,"FRUIT (excluded citrus, wild berries and olives)",GRAPES,575
FRUIT,"FRUIT (excluded citrus, wild berries and olives)",GUAVA,1800
FRUIT,"FRUIT (excluded citrus, wild berries and olives)",KIWI,514
FRUIT,"FRUIT (excluded citrus, wild berries and olives)",MANGO,2000
FRUIT,"FRUIT (excluded citrus, wild berries and olives)",MANGOSTEEN,1800
FRUIT,"FRUIT (excluded citrus, wild berries and olives)",PALM NUT,2868
FRUIT,"FRUIT (excluded citrus, wild berries and olives)",PAPAYA,460
FRUIT,"FRUIT (excluded citrus, wild berries and olives)",PEACH,827
FRUIT,"FRUIT (excluded citrus, wild berries and olives)",PEAR,922
FRUIT,"FRUIT (excluded citrus, wild berries and olives)",PINEAPPLE,255
FRUIT,"FRUIT (excluded citrus, wild berries and olives)",PLANTAIN,1602
FRUIT,"FRUIT (excluded citrus, wild berries and olives)",PLUM,2180
FRUIT,"FRUIT (excluded citrus, wild berries and olives)",WATERMELON,185
FRUIT,OLIVES*,OLIVES*,4972
FRUIT,WILD BERRIES,BLACKBERRY,413
FRUIT,WILD BERRIES,BLUEBERRY,845
FRUIT,WILD BERRIES,CRANBERRY,276
FRUIT,WILD BERRIES,CURRANT,499
FRUIT,WILD BERRIES,GOOSEBERRY,526
FRUIT,WILD BERRIES,LONGABERRY,413
FRUIT,WILD BERRIES,MULBERRY,413
FRUIT,WILD BERRIES,RASPBERRY,413
FRUIT,WILD BERRIES,STRAWBERRY,275
GRAINS,-,BARLEY,1423
GRAINS,-,MAIZE,1383
GRAINS,-,MILLET,4478
GRAINS,-,OAT,1788
GRAINS,-,RICE,1651
GRAINS,-,RYE,1554
GRAINS,-,SORGHUM,3048
GRAINS,-,WHEAT,1795
LEGUMES DRIED,-,BEAN,5053
LEGUMES DRIED,-,CHICKPEA,4177
LEGUMES DRIED,-,COWPEA,6906
LEGUMES DRIED,-,FABA BEAN,2018
LEGUMES DRIED,-,LENTIL,5874
LEGUMES DRIED,-,PEA,1979
LEGUMES DRIED,-,PIGEON PEA,5494
LEGUMES DRIED,-,SOYBEAN,1920
LEGUMES FRESH,-,BEAN (fresh),516
LEGUMES FRESH,-,PEA (fresh),595
NUTS SHELLED,-,ALMOND SHELLED,16095
NUTS SHELLED,-,ARECA NUT,11165
NUTS SHELLED,-,CAHSEW NUT,14218
NUTS SHELLED,-,HAZELNUT SHELLED,10515
NUTS SHELLED,-,KOLA NUT,23391
NUTS SHELLED,-,MIXED NUTS,9063
NUTS SHELLED,-,PISTACHIO,11363
NUTS SHELLED,-,WALNUT SHELLED,9173
NUTS WITH SHELL,-,ALMOND WITH SHELL,8047
NUTS WITH SHELL,-,CHESTNUT,2750
NUTS WITH SHELL,-,HAZELNUT WITH SHELL,5258
NUTS WITH SHELL,-,PEANUT,2645
NUTS WITH SHELL,-,WALNUT WITH SHELL,4918
SEEDS,-,BRASSICAS,280
SEEDS,-,HEMPSEED,3685
SEEDS,-,LINSEED,5168
SEEDS,-,MUSTARD SEED,2809
SEEDS,-,POPPY SEED,2188
SEEDS,-,RAPESEED,2271
SEEDS,-,SESAM SEED,9371
SEEDS,-,SUNFLOWER SEED,3366
SPICIES,-,ANISE,8280
SPICIES,-,BADIAN,8280
SPICIES,-,CARDAMOM,34319
SPICIES,-,CHILLY,7365
SPICIES,-,CINNAMON,15526
SPICIES,-,CLOVE,61205
SPICIES,-,CORIANDER,8280
SPICIES,-,FENNEL SEEDS,8280
SPICIES,-,GARLIC POWDER,2265
SPICIES,-,GINGER,1657
SPICIES,-,HOP CONE,4065
SPICIES,-,HOP EXTRACT,16259
SPICIES,-,MACE,34319
SPICIES,-,NUTMEG,34319
SPICIES,-,PEPPER (PIPER SPP.),7611
SPICIES,-,PEPPERMINT,288
SPICIES,-,SAFFRON,734167
SPICIES,-,VANILLA BEAN,126505
STARCHY TUBERS,-,MANIOC,564
STARCHY TUBERS,-,POTATO,555
STARCHY TUBERS,-,SWEET POTATO,383
STARCHY TUBERS,-,TARO,606
STARCHY TUBERS,-,YAM,343
SUGAR CROPS,-,SUGAR BEET,132
SUGAR CROPS,-,SUGAR CANE,210
TEA,-,BLACK TEA,8856
TEA,-,GREEN TEA,8856
VEGETABLES,ASPARAGUS*,ASPARAGUS* ,2150
VEGETABLES,GREEN LEAFY VEGETABLES,CABAGGE,260
VEGETABLES,GREEN LEAFY VEGETABLES,LETTUCE,212
VEGETABLES,GREEN LEAFY VEGETABLES,SPINACH,292
VEGETABLES,ROOTS & BULBS,CARROT,195
VEGETABLES,ROOTS & BULBS,GARLIC,589
VEGETABLES,ROOTS & BULBS,ONION,290
VEGETABLES,ROOTS & BULBS,SHALLOT,272
VEGETABLES,ROOTS & BULBS,TURNIP,195
VEGETABLES,"VEGETABLES (fruits, steems, flowers)",ARTICHOKE,818
VEGETABLES,"VEGETABLES (fruits, steems, flowers)",BROCCOLI,327
VEGETABLES,"VEGETABLES (fruits, steems, flowers)",BRUSSEL SPROUT,285
VEGETABLES,"VEGETABLES (fruits, steems, flowers)",CAULIFLOWER,285
VEGETABLES,"VEGETABLES (fruits, steems, flowers)",CHILLY FRESH,379
VEGETABLES,"VEGETABLES (fruits, steems, flowers)",CUCUMBER,353
VEGETABLES,"VEGETABLES (fruits, steems, flowers)",EGGPLANT,362
VEGETABLES,"VEGETABLES (fruits, steems, flowers)",MAIZE GREEN,700
VEGETABLES,"VEGETABLES (fruits, steems, flowers)",OKRA,576
VEGETABLES,"VEGETABLES (fruits, steems, flowers)",PEPPER,379
VEGETABLES,"VEGETABLES (fruits, steems, flowers)",PUMPKIN,479
VEGETABLES,"VEGETABLES (fruits, steems, flowers)",SQUASH,336
VEGETABLES,"VEGETABLES (fruits, steems, flowers)",STRING BEAN,547
VEGETABLES,"VEGETABLES (fruits, steems, flowers)",TOMATO,69
VEGETABLES,"VEGETABLES (fruits, steems, flowers)",ZUCCHINI,336
VEGETABLES DRIED* (tomato),-,TOMATO DRIED*,4276
FISH,-,BLACK CARP,2555
FISH,-,CARP,2364
FISH,-,COD,2795
FISH,-,FLOUNDER,798
FISH,-,GILSTHEAD SEABREAM,3544
FISH,-,GRASS CARP,2229
FISH,-,GROUPER,360
FISH,-,MAJOR CARP,3808
FISH,-,MANDARIN FISH,88
FISH,-,MILKFISH,2472
FISH,-,PANGASIID,1910
FISH,-,RED DRUM,2202
FISH,-,SALMON,2550
FISH,-,SEA-BASS,5222
FISH,-,SILVERBARB,2862
FISH,-,STURGEON,13420
FISH,-,TILAPIA,2262
FISH,-,TROUT,2986
FISH,-,TURBOT,1504
FISH,-,WUCHANG BREAM,10550
SHELLFISH* (crustacean),CRUSTACEAN*,CRUSTACEAN,1974
SHELLFISH* (crustacean),CRUSTACEAN*,PRAWNS GIANT,1705
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
